 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
03/06/;2021;14.450;906;13.544;6,30%;20.055;2.966;17.089;14,80%;;;
;; ;;;;;;;;;;
02/06/;2021;9.849;714;9.135;7,20%;14.377;2.204;12.173;15,30%;;;
;;;;;;;;;;;;
01/06/;2021;6.917;601;6.316;8,70%;10.325;1.303;9.022;12,60%;;;
;; ;;;;;;;;;;
31/05/;2021;6.847;519;6.328;7,60%;15.974;2.207;13.767;13,80%;;;
;;;;;;;;;;;;
30/05/;2021;7.322;726;6.596;9,90%;11.265;1.157;10.108;10,30%;;;
;; ;;;;;;;;;;
29/05/;2021;10.573;1.064;9.509;10,10%;15.193;1.890;13.303;12,40%;;;
;;;;;;;;;;;;
28/05/;2021;13.247;807;12.440;6,10%;18.817;2.425;16.392;2,90%;;;
;; ;;;;;;;;;;
27/05/;2021;9.599;693;8.906;7,20%;13.241;1.595;11.646;12,00%;;;
;;;;;;;;;;;;
26/05/;2021;8.524;940;7.584;11,00%;11.620;1.189;10.431;10,20%;;;
;; ;;;;;;;;;;
25/05/;2021;13.768;617;13.151;4,50%;19.669;2.215;17.454;11,30%;;;
;;;;;;;;;;;;
24/05/;2021;9.341;384;8.957;4,10%;13.737;1.893;11.844;3,80%;;;
;; ;;;;;;;;;;
23/05/;2021;8.361;819;7.542;9,80%;10.895;974;9.921;8,90%;;;
;;;;;;;;;;;;
22/05/;2021;8.669;867;7.802;10,00%;16.501;1.834;14.667;11,10%;;;
;; ;;;;;;;;;;
21/05/;2021;14.265;932;13.333;6,50%;20.379;2.184;18.195;10,70%;;;
;;;;;;;;;;;;
20/05/;2021;8.168;856;7.312;10,50%;10.473;1.646;8.827;15,70%;;;
;; ;;;;;;;;;;
19/05/;2021;8.307;895;7.412;10,80%;10.651;1.895;8.756;17,80%;;;
;;;;;;;;;;;;
18/05/;2021;4.494;539;3.955;12,00%;10.705;941;9.764;8,80%;;;
;;;;;;;;;;;;
17/05/;2021;4.131;291;3.840;7,00%;11.350;1.400;9.950;12,30%;;;
;;;;;;;;;;;;
16/05/;2021;4.361;421;3.940;9,70%;6.230;930;5.300;14,90%;;;
;; ;;;;;;;;;;
15/05/;2021;3.580;161;3.419;4,50%;6.760;969;5.791;14,30%;;;
;;;;;;;;;;;;
14/05/;2021;4.032;227;3.805;5,60%;6.056;912;5.144;15,10%;;;
;; ;;;;;;;;;;
13/05/;2021;4.590;632;3.958;13,80%;6.121;923;5.198;15,10%;;;
;;;;;;;;;;;;
12/05/;2021;8.229;785;7.444;9,50%;11.757;1.730;10.027;14,70%;;;
;; ;;;;;;;;;;
11/05/;2021;8.182;656;7.526;8,00%;11.689;1.640;10.049;14,00%;;;
;;;;;;;;;;;;
10/05/;2021;6.139;406;5.733;6,60%;9.997;1.711;8.286;17,10%;;;
;;;;;;;;;;;;
09/05/;2021;6.910;694;6.216;10,00%;9.872;2.004;7.868;20,30%;;;
;;;;;;;;;;;;
08/05/;2021;8.206;809;7.397;9,90%;13.267;1.968;11.299;14,80%;;;
;; ;;;;;;;;;;
07/05/;2021;9.612;732;8.880;7,60%;15.473;2.196;13.277;14,20%;;;
;;;;;;;;;;;;
06/05/;2021;10.752;783;9.969;7,30%;17.747;2.114;15.633;11,90%;;;
;; ;;;;;;;;;;
05/05/;2021;11.480;905;10.575;7,90%;16.710;2.208;14.502;13,20%;;;
;;;;;;;;;;;;
04/05/;2021;10.686;845;9.841;7,90%;17.285;2.448;14.837;14,20%;;;
;; ;;;;;;;;;;
03/05/;2021;8.154;416;7.738;5,10%;17.082;2.275;14.807;13,30%;;;
;;;;;;;;;;;;
02/05/;2021;6.765;757;6.008;11,20%;9.020;888;8.132;9,80%;;;
;;;;;;;;;;;;
01/05/;2021;6.957;854;6.103;12,30%;11.590;2.128;9.462;18,40%;;;
;;;;;;;;;;;;
30/04/;2021;9.962;926;9.036;9,30%;17.048;2.163;14.885;12,70%;;;
;; ;;;;;;;;;;
29/04/;2021;9.712;789;8.923;8,10%;14.576;2.600;11.976;17,80%;;;
;;;;;;;;;;;;
